 ,dc:title,dcterms:alternative,dc:relation,dc:type,compoundrelationship,group_id,collection_id,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
dg_1772558228,"Student Life, Music, 1994",,"Student Life, 1994",image,,,,,"Student Life, Music-1994.tif",lib_rgr_56b54f1_studentactivites003,"RG-R, Series 6, Box 54, Folder 1",MR?,,0,Student life,,"Four students playing music in central campus, 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772558809,"Student Activities, 1993",,"Student Life, 1993",image,,,,,Student Activities-1993.tif,lib_rgr_56b54f1_studentactivites006,"RG-R, Series 6, Box 54, Folder 1",,,,Student life,,"Four students stand outfoors on campus participating in what appears to be a watermelon-eating competition or student activity. The student on the far left is Matthew Welch (Class of 1996). The second student from the left is Roy Rich (Class of 1996). The third student from the left is an unidentified student. The student on the far right is Greg Kane (Class of 1996). This picture was taken outside of Cowles, 1993.",,,,,1993,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775145656,"Town, College, and Community, Photograph 1",,Student Life,image,,,,,Town-College-and Community-Photograph_1.tif,,"RG-R, Series 6, Box 57, Folder 5",Fred Mann,,,Student Life | Students,,"Four students posing at a table while eating out. Student second from the right is Kevin Curtis, 1995.",,,,,1995,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775145658,"Town, College, and Community, Photograph 2",,Student Life,image,,,,,Town-College-and Community-Photograph_2.tif,,"RG-R, Series 6, Box 57, Folder 5",,,,Student Life | Students,,"Farmers Market. Student in the center is Indrani Lahiri (Class of 2000). Student on the right is Laya Ranjit (Class of 2000). The person on the left is unidentified, likely 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775145658,"Town, College, and Community, Photograph 3",,Student Life,image,,,,,Town-College-and Community-Photograph_3.tif,,"RG-R, Series 6, Box 57, Folder 5",Margaret Rauber,,,Student Life | Students,,"A group of students walking in Grinnell, likely 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775145658,"Town, College, and Community, Photograph 4",,Student Life,image,,,,,Town-College-and Community-Photograph_4.tif,,"RG-R, Series 6, Box 57, Folder 5",,,,Student Life | Students,,"Two students walking at the farmers market, likely 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775145658,"Town, College, and Community, Photograph 5",,Student Life,image,,,,,Town-College-and Community-Photograph_5.tif,,"RG-R, Series 6, Box 57, Folder 5",Margaret Rauber,,,Student Life | Students,,"Downtown Grinnell. Student on the left is John Haller (Class of 1995). Student on the right is unidentified, 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775145658,"Town, College, and Community, Photograph 6",,Student Life,image,,,,,Town-College-and Community-Photograph_6.tif,,"RG-R, Series 6, Box 57, Folder 5",,,,Student Life | Students,,"Two students sitting outside at the farmers market, likely 1994.",,,,,1994,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772817687,"Origami Event, Photograph 1",,"Student Life, 2015",image,,,,,DSCF2962.jpg,,Unaccessioned Photos from Office of Communications and Marketing,Justin Hayworth,,,Student Life,,"Student sits posed smiling with orgami swan with event blurred in background, 2015.",,,,,2015,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772818198,"Origami Event, Photograph 2",,"Student Life, 2015",image,,,,,DSCF2961.jpg,,Unaccessioned Photos from Office of Communications and Marketing,Justin Hayworth,,,Student Life,,"Two students on the right, one holding orgami paper with two more students in background, 2015.",,,,,2015,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772818289,"Origami Event, Photograph 3",,"Student Life, 2015",image,,,,,DSCF2952.jpg,,Unaccessioned Photos from Office of Communications and Marketing,Justin Hayworth,,,Student Life,,"Student poses smiling with orgami swan with Joe Rosenfield Center blurred in background, 2015.",,,,,2015,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772818391,"Origami Event, Photograph 4",,"Student Life, 2015",image,,,,,DSCF2948.jpg,,Unaccessioned Photos from Office of Communications and Marketing,Justin Hayworth,,,Student Life,,"Student sits at table folding orgami paper with event blurred in background, 2015.",,,,,2015,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772818392,Group of Students,,"Student Life, 2015",image,,,,,DSCF2861.jpg,,Unaccessioned Photos from Office of Communications and Marketing,Justin Hayworth,,,Student Life,,"Eleven students pose around a couch in formal party attire in unidentified north campus dorm lounge. Jarren Santo (Class of 2017) is standing at the second place from the right. Bailey Dunn is seated at the forth from the right, 2015.",,,,,2015,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772818795,"Origami Event, Photograph 5",,"Student Life, 2015",image,,,,,ISOreal-5,,Unaccessioned Photos from Office of Communications and Marketing,Justin Hayworth,,,Student Life,,"Three students sit at table folding orgami paper with event in background, 2015.",,,,,2015,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772818876,"Student Dance Performance, 2015, Photograph 1",,"Student Life, 2015",image,,,,,JD4_2749.tif,,Unaccessioned Photos from Office of Communications and Marketing,John Brady Photography,,,Performers,,"Students hold umbrellas during performance, 2015.",,,,,2015,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1772818940,"Student Dance Performance, 2015, Photograph 2",,"Student Life, 2015",image,,,,,JD6_0574.tif,,Unaccessioned Photos from Office of Communications and Marketing,John Brady Photography,,,Performers,,"Charlotte Richardson Deppe looks at the camera during a dance performance, 2015.",,,,,2015,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
