 ,dc:title,dcterms:alternative,dc:relation,dc:type,compoundrelationship,group_id,collection_id,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
dg_1774289461,"Students sitting and chatting, May 1969",,,image,,,,,Photo_007.tif,,"RG-R, Series 6, Box 26, Folder 2",George T. Henry,,,Student Life,,"Four students sit on chairs near a window, chatting, 1969. Taken for the new student catalogue ""When You Come to Grinnell"" Professor Greg Guroff is seated on the far left side of the photograph, sitting in a sofa crossed and facing the group discussion. The second from the right is H. Christine Midelfort..",,,,,1969,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1774290338,"Crowded stands, Fall 1966, Photograph 2",,,image,,,,,Photo_008.tif,,"RG-R, Series 6, Box 26, Folder 2",Lilah Morton,,,Student Life,,"A large crowd watches a game from the stands, people in the first row hold a sign that says ""Young Steve"". Bruce Strom is seated in the fifth row from the front and approximately the fifth person from the left side of the photograph, among the spectators in the bleachers. Ron Ai (Class of 1970) is seated in the front row, approximately the sixth person from the left side of the photograph, near the bottom center-right area of the image. Mike Sehested (Class of 1970) is seated in the upper middle-right section of the photograph. He wears his glasses and is positioned several rows behind the front of the crowd. H. Tappes appears along the right side of photograph, seated among the spectators in the stands,  Fall 1966.",,,,,Fall 1966,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1774290757,"Students in South Loggia, 1969",,,image,,,,,Photo_009.tif,,"RG-R, Series 6, Box 26, Folder 2",George T. Henry,,,Student Life,,"Gathering of students in the South Campus Loggia. Al Wands is seated on the left side of the photograph, reclining in a cushioned lounge chair with his legs extended onto another chair in front of him.",,,,,1969,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1775141967,"Senate Meeting, 1965-1966",,,image,,,,,Photo_010.tif,,"RG-R, Series 6, Box 26, Folder 2",John Phillips,,,Student Life,,Senate meets during the 1965-66 school year. Seated in middle row center is Terry Nelson Littlejohn. Art Knowles (Class of 1970) appears near the center-right of the photograph and is partially obscured by the annotation note identifying him. He is seated among a group of students holding papers and appears to be participating  in Senate meeting.,,,,,1965-1966,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1774292127,"Students in line for second semester registration in Burling, 1972",,,image,,,,,Photo_011.tif,,"RG-R, Series 6, Box 26, Folder 6",,,,Student Life,,"Students form a line to talk with a librarian at a desk for second semester registration, one fills out a form. Doung Russel is standing on the far right side of the photograph, leaning forward over the counter and looking down at the materials on the desk.",,,,,1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1774293680,"Students in political science caucus room, May 5th 1970",,,image,,,,,Photo_012.tif,,"RG-R, Series 6, Box 16, Folder 1",George T. Henry,,,Student Life,,"Four students sit in the political science caucus room, sitting with papers and books. One student is identified as Ossie Barrett (Class of 1973). And the second from the left is Mark Haniton.",,,,,,1970-05-05,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1774294169,"Three students outside the ARH, May 5th 1970",,,image,,,,,Photo_013.tif,,"RG-R, Series 6, Box 16, Folder 1",George T. Henry,,,Student Life,,"Three students stand under an arch outside the ARH, one is identified as Sheila Y. Scullock (Class of 1973).",,,,,,1970-05-05,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1774294538,"Students on Mac Field, April 1972",,,image,,,,,Photo_014.tif,,"RG-R, Series 6, Box 16, Folder 1",,,,Student Life,,"A group of students standsit on Mac Field, watching something that is unpictured, April 1972. Three students are identified as Dianne Jones (Class of 1974), Renee Weldon (Class of 1973), and Jon R. Gray (Class of 1973). Sherri Raines is seated on the ground near the center of the photograph. She appears between two standing figures in the foreground, with only the upper portion of her body visible.",,,,,April 1972,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1774295574,"Second Semester Registration, 1970-1971",,,image,,,,,Photo_015.tif,,"RG-R, Series 6, Box 17, Folder 1",McMullin,,,Student Life,,A group of students register for classes in Darby. Dan Duncan (Class of 1974) is standinng near the center-right of the photograph. He is wearing a patterned coat and holding a sheet of paper in his right hand while facing the registration table.,,,,,1970-1971,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776270133,"Guest Performer, CBS Dinner, 1996",,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_001.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,"Students | Music | College students, Black | Clubs and Organizations | CBS",,"Two students converse with a guest performer during a CBS (Concerned Black Students) Dinner in Fall 1996. Identified individuals include Ralph Russell (center) and Moses Mann (Class of 1999, right).",,,,,Fall 1996,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776270447,"Black Student Movie Fall, 1996",,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_002.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,"Students | Motion picture theaters | College students, Black | Clubs and Organizations | CBS",,"Students sit and stand in and around seating in the Harris Center Theater. Identified individuals are Gerald Johnson (Class of 1998, center right) and Jacee Scott (Class of 1998) Stanley (Background, upper right), 1996.",,,,,1996,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776270722,Pride Week 1997,,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_003.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,Students | Gay pride celebrations | Clubs and Organizations | Stonewall Coalition | SRC,,"Two students stand on stage during a pride event in the Harris Center Theater, 1997.",,,,,1997,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776270730,"Black Church F, 1996",,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_004.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,"Students | African American churches | College students, Black | Clubs and Ogranizations | Black Church",,"Two people talk near the pulpit of Herrick Chapel during Black Church. Moses Mann (Class of 1999) speaks with Richard Pitt (Administration) during this event, 1996.",,,,,1996,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776270867,CBS-Dinner F 96,,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_005.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,"Students | College students, Black | Clubs and Organizations | CBS",,"Students gather around a table getting food in the Black Cultural Center. Christina Fry (Class of 2000), standing near the buffet table at left-center, 1996.",,,,,1996,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776271021,Gerald Johnson BCC Dec 1996 Campus Scene,,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_006.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,"Students | College students, Black | Clubs and Organizations | BCC",,"Gerald Johnson (Class of 1998) and Amanda Walker (Class of 1998) sit on a couch in the Black Cultural Center, 1996.",,,,,1996,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776271043,"F.A. Ceremony F, 1996",,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_007.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,Students | Art,,Students and others converse during a reception for Center of Fine Arts. Frank Thomas stands in the middle. 1996.,,,,,1996,,,,,photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776271071,"Fine Arts Celebration, 1996",,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_008.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,Students | Art,,"Two people converse during a reception for Fine Arts. The man on the left is Craig Gibbens (Class of 1995), 1996.",,,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776271119,"Fature Public Event, 1996",,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_009.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,Students | Music ,,"Band believed to be Fature performs likely in the Harris Center Concert Hall, 1996.",,,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776271316,"Party at BCC, 1996",,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_010.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,"Students | College students, Black | Clubs and Organizations | BCC",,"Two students sit and one student stands during a party at the Black Cultural Center. Aneesa ""Dee"" Thompson (Class of 1995), seated at the center of the image, and Noranah Hicks (Class of 1995), seated near the window on the left. Fall 1996. ",,,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1776271365,"Performance, 1996",,Student Activities (1980s-1990s),image,,,,,Student_Activities_Slides_011.tif,,"RG-R, Series 6, Box 54, Folder 2",,,,Students | Music ,,"Performer talks with three students. Zelma Gonzalez (Class of 1997), the student in the blue shirt on the right side of the image, participates in a campus activity with fellow students, 1996.",,,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
